prime_ministerLabel,total_days
Johannes Virolainen,19013.0
Kyösti Kallio,16733.0
Juho Vennola,16620.0
V. J. Sukselainen,15599.0
Anneli Jäätteenmäki,15585.0
Esko Aho,15306.0
Lauri Ingman,13924.0
Urho Kekkonen,13286.0
Karl-August Fagerholm,12638.0
Risto Ryti,12417.0
Mauno Koivisto,12260.0
Jyrki Katainen,11685.0
Paavo Lipponen,11673.0
Mauno Pekkala,10827.0
Urho Castrén,10284.0
Mari Kiviniemi,9666.0
Pehr Evind Svinhufvud,8614.0
Harri Holkeri,8143.0
Antti Tulenheimo,7968.0
Juho Kusti Paasikivi,6477.0
Sakari Tuomioja,5934.0
Martti Miettunen,5929.0
Alexander Stubb,5080.0
Teuvo Aura,4940.0
Edwin Linkomies,4756.0
Kalevi Sorsa,4397.0
Juha Sipilä,4176.0
Matti Vanhanen,3864.0
Reino Kuuskoski,3412.0
Antti Rinne,3369.0
Rafael Erich,2946.0
Keijo Liinamaa,2905.0
Väinö Tanner,2172.0
Rafael Paasio,1604.0
Ahti Karjalainen,1450.0
Toivo Mikael Kivimäki,1393.0
Aimo Cajander,1293.0
Ralf Törngren,1276.0
Sanna Marin,1213.0
Johan Wilhelm Rangell,1156.0
Juho Sunila,1109.0
Rainer von Fieandt,879.0
Reino Ragnar Lehto,269.0
Kaarlo Castrén,261.0
Oskari Mantere,237.0
Antti Hackzell,44.0
